,Gene,PageRank
9,HIVEP1,0.0018042498772074217
22,SUB1,0.0017956668741190996
38,TFDP1,0.001766687502748022
165,NFYB,0.001642717734670262
5,SSRP1,0.0016202587129123805
116,SOX4,0.0016083999861823337
7,ZNF418,0.001599452229791391
244,JAZF1,0.0015912502032151752
575,ZNF827,0.0015592940444169652
21,CLOCK,0.001536919578903242
42,TSC22D4,0.0015312678010818163
472,ARID5B,0.001433609143438848
41,NFIX,0.001401921467443439
508,ZNF506,0.0013948877422242578
603,ZBTB4,0.0013945640414420694
213,ZNF219,0.0013858232891624314
333,ZNF655,0.0013819006342124258
121,ZNF600,0.0013747575369785377
178,GMEB2,0.0013697475125230762
275,ZNF512B,0.0013684727583135037
300,ZNF791,0.00136762230391091
352,ZNF211,0.0013642222724523248
104,MAFF,0.0013517505325107953
45,ZSCAN2,0.0013463245693717603
164,ZNFX1,0.0013445466952708323
525,KLF13,0.0013371456153733416
321,BACH1,0.0013290867112031547
232,KLF10,0.0013289620459983873
938,ZBTB49,0.0013283376226145857
639,CREBRF,0.0013137641147589112
503,ZNF587,0.0013115612676137646
77,CUX1,0.0013091579390750513
436,NFATC1,0.0013059560374071948
187,RELB,0.0013048052177917038
312,USF3,0.001304647187107918
398,SLC2A4RG,0.0013039558489758782
265,IRF4,0.0013023521289420973
373,NFKB2,0.0013004915804065626
834,THAP5,0.0012895286640313309
502,MLX,0.0012868065563632193
107,MAZ,0.0012867602668884914
177,KLF7,0.0012849139452927299
184,ZNF180,0.0012794556545693454
440,ZNF532,0.0012793007579308625
272,E2F3,0.0012634366652266875
92,ZNF770,0.0012573948529220524
202,ZNF45,0.0012518496869024277
684,ZNF268,0.0012515629968832475
31,RLF,0.001250690000595243
523,ID2,0.0012499092730496215
71,THYN1,0.001243969277401912
469,ZNF264,0.0012402425746511215
132,NFKB1,0.001237283567727313
12,BBX,0.0012332555556010631
196,YY1,0.0012312868294902296
241,ZNF524,0.0012307285543082251
296,SREBF1,0.001230678693330338
542,ZNF397,0.001227718413808926
147,ZNF37A,0.0012270369726347596
161,KLF5,0.0012269534268539329
446,MAF1,0.0012246536542656107
689,THAP7,0.0012226406649718854
590,ZNF274,0.0012219257930510669
698,ZNF394,0.001221921009229843
422,VEZF1,0.0012218198647144494
363,ATF2,0.001220656342902636
412,ATF3,0.0012205659186256467
174,SP100,0.0012194517704397607
579,ZNF761,0.0012157520300653554
205,FOXO4,0.0012127984041006852
259,MXD1,0.0012115393362803295
151,CREB3L2,0.0012087508637374518
732,ZNF408,0.0012072267099141954
477,ZNF711,0.0012054452052154831
310,ZIK1,0.0012051050651682008
452,ZBTB25,0.0012047278715230938
488,FOXK2,0.0012018166601171127
419,IRF1,0.001198389928857081
102,SMARCE1,0.0011974881003403723
529,NR4A2,0.001193689319081884
794,ZNF692,0.0011931065059057825
384,ZNF780A,0.0011913324509973207
345,NR4A3,0.0011902552259163268
536,RCOR3,0.0011878635140550615
471,TCF12,0.001186931269789927
53,ZNF333,0.0011840807073532726
185,ZNF431,0.0011832730042939594
400,CCDC88A,0.0011826219950845564
327,ZNF26,0.0011823364722817
892,MNT,0.0011814365156097913
375,ZNF197,0.0011813671607438974
18,ZBTB43,0.0011810254881973454
908,ZNF138,0.0011807763444667417
516,PBX2,0.001180472564053725
197,MYB,0.0011783104717464515
372,STAT6,0.001178256859694159
143,MZF1,0.0011752369850087142
885,XPA,0.0011732134161087106
356,JARID2,0.0011724865838645723
33,YEATS4,0.0011723074181021727
