Gene,T1,T2,T3,T4,T5
A1BG,0.275177153,-0.002898048,0.207174383,0.214840067,0.518443814
A1BG-AS1,0.043304801,0,0,0.022674654,0
A2M,0,0,0,0,0
A2M-AS1,0,0,0.034676837,0,0
A4GALT,0,0,0,0,0
AAAS,0.133350626,0.307411092,0.029643509,-0.031131012,0.046345654
AACS,0.13151335,0,0,0.041017237,0.09908697
AADAT,0.058495597,-0.033637051,-0.033637051,-0.033637051,-0.033637051
AAED1,-0.326299151,-0.637442087,-0.283352859,-0.19145161,-0.102334784
AAGAB,0.131841411,0.011130532,0.039283132,0.115692788,-0.05571804
AAK1,0.036853688,0.656062733,-0.150973162,-0.135931376,-0.07662613
AAMDC,0.100253072,-0.101991232,-0.101991232,-0.033656618,-0.071471775
AAMP,0.267784051,0.311525984,0.094608517,0.026054614,0.161479644
AAR2,0.057258681,0.247311054,0.099089524,0.098561819,0.103300603
AARD,0,0,0.062592835,0.026288519,0
AARS,-0.057699338,0.381265646,-0.010975855,-0.012710168,-0.057699338
AARS2,-0.057578425,-0.057578425,-0.020527209,-0.045553892,-0.034190342
AARSD1,-0.116551078,0.101884982,0.016400325,0.062735326,-0.100579011
AASDH,0.203273634,0,0.081843863,0.217586857,0
AASDHPPT,0.249138853,0.445534849,0.293104595,0.145923175,0.228731009
AASS,0,0.162540462,0.038958854,0.011127291,0
AATBC,0,0,0,0,0
AATF,0.062322123,-0.196935556,-0.100034659,-0.055447446,-0.183635198
AATK,-0.033637051,-0.033637051,-0.033637051,-0.033637051,-0.033637051
ABALON,0,0.280554169,0,0,0.010779205
ABAT,-0.002765851,-0.046070652,-0.046070652,-0.046070652,-0.046070652
ABCA1,-0.112745887,0.467590595,0.113301014,-0.028378001,-0.101966682
ABCA10,0,0,0,0.035412042,0
ABCA2,0.049598727,-0.057578425,-0.057578425,-0.041263339,-0.049502087
ABCA3,0,0,0,0,0.008076338
ABCA5,-0.051839125,-0.135309786,-0.005882061,0.054268494,0.023774275
