,TF,target,importance
103,DNAJC1,ZBTB1,3.697116579220585
457,PREB,NR2F6,3.2472544044458957
644,ZBED4,SSRP1,3.1263042440798037
160,FOXO1,ZNF418,3.105024304542321
1061,ZNF669,HIVEP1,3.081191175951709
402,NR3C1,ZNF287,3.0384356423635572
44,BBX,ZNF283,3.019109738848524
838,ZNF304,NCOR2,3.002683397353581
458,PREB,ZNF625,2.9798954875751495
753,ZNF16,ZBTB43,2.97107866096988
338,MTA2,VDR,2.965973388173957
76,CLOCK,SUB1,2.9643830681675016
201,HES4,HIVEP3,2.9415930346168953
490,RUNX2,ZNF704,2.931132962461116
1034,ZNF621,MTF1,2.9292853359332893
1070,ZNF681,BATF,2.916543749999363
483,RLF,HIVEP1,2.913618654582213
90,CSDE1,BATF,2.8949412237648056
640,YEATS4,ZNF324B,2.8839395077873466
538,SP4,ETV7,2.874962017899605
287,KLF6,TFDP1,2.8676569293358023
159,FOXO1,CDC5L,2.8625282306157054
501,SFPQ,NFIX,2.855357039012915
672,ZBTB43,TSC22D4,2.8378119931069268
711,ZFY,MTA3,2.830051323709613
1190,ZSCAN2,ZBTB3,2.8277507226254603
367,NFE2,HMGA2,2.825394192640423
39,BACH2,ZNF70,2.799670339692835
293,L3MBTL3,ZXDC,2.787841985460464
852,ZNF333,HOXC4,2.7773137870268636
856,ZNF33A,SIX5,2.7646749501854058
100,DEAF1,TSC22D1,2.750435615447842
596,THAP3,ZNF107,2.749596921556808
962,ZNF528,ZSCAN16,2.749021862035875
1002,ZNF580,ZNF527,2.7477737653852192
912,ZNF444,TMF1,2.747277696324301
1084,ZNF699,ZNF879,2.74328284379561
126,ELK4,ZNF217,2.731331587861345
605,THYN1,ZFP28,2.7276181697715294
342,MXD3,ZNF845,2.7192471261289475
256,IKZF4,ZBTB34,2.7140148434747524
95,CUX1,ETS2,2.6986948890898677
1017,ZNF597,ZNF546,2.6975212617350386
521,SNAPC4,ZNF232,2.6957249349198404
958,ZNF525,ZNF420,2.691621268043719
748,ZNF142,ZNF250,2.6912327901140976
280,KLF12,TFDP1,2.6891550852677213
325,MIER3,HSF4,2.687183207354434
946,ZNF511,ZNF470,2.6855932017408377
1204,ZXDC,ZNF770,2.6791627530896998
80,CREB3,ZNF324B,2.6709573515472487
1067,ZNF677,NFIX,2.669945609999824
100,DEAF1,HMG20B,2.663443641081143
594,THAP2,MYEF2,2.6494756557284482
506,SMAD2,NFX1,2.6494160903680943
963,ZNF530,RFX3,2.646285895995889
516,SMARCE1,HEY2,2.6455679678189585
306,MAFF,ZNF418,2.6453355870891198
978,ZNF556,ZNF540,2.642377359278073
310,MAZ,ZNF510,2.641428826143801
65,CDIP1,ZNF594,2.6385560510168355
523,SON,ZNF641,2.6275637467933133
392,NR1D1,YBX1,2.6248431956119034
11,AKNA,ZNF540,2.620764696970312
527,SOX4,ZNF398,2.6157313399142263
958,ZNF525,ZEB2,2.5931931626788396
741,ZNF134,ZNF684,2.5901822802871255
1019,ZNF600,EBF1,2.575517118607439
554,SUB1,ZNF273,2.574238354560196
972,ZNF549,ZNF460,2.5716375054107528
301,LYAR,PRDM5,2.5695815644423634
1033,ZNF620,ZNF367,2.5685830912192698
577,TERF2,FOSL1,2.5685796601180377
377,NFKB1,ZNF562,2.560153918022686
323,MESP1,RORA,2.558801032618771
682,ZBTB7B,HIVEP1,2.54472821175616
996,ZNF574,FOXN3,2.5442224721585234
625,UBTF,NRL,2.5404931066804393
102,DMTF1,THAP9,2.539428491157085
357,MZF1,ZBTB14,2.5378027056817567
1057,ZNF664,THRB,2.532522379497114
872,ZNF37A,GCFC2,2.528803084657929
176,GATAD2B,ZNF841,2.526577895165171
82,CREB3L2,ZBTB7B,2.5243406499068604
124,ELK1,ZNF654,2.5235806572195556
330,MLLT10,ZBED3,2.5164580872286817
74,CIC,ZNF708,2.515828220560114
681,ZBTB7A,ZBTB42,2.515721466018989
16,ARID3A,KLF5,2.5100261633473835
773,ZNF202,ZNF618,2.5070399411986664
1185,ZNFX1,NFYB,2.5068664141267014
904,ZNF433,ZNF568,2.506543777852534
1127,ZNF776,ZNF76,2.5060705052392396
1009,ZNF586,ZNF556,2.498048309993605
338,MTA2,ZNF423,2.497194720794783
266,IRF9,KLF11,2.488388846103575
533,SP100,ZNF805,2.475149362539157
889,ZNF415,KLF7,2.4739093028401697
625,UBTF,GMEB2,2.4736952972924984
1195,ZSCAN26,ZNF611,2.4535255639598232
229,HOPX,ZFP62,2.4492256371768866
551,STAT5A,ZNF180,2.441907623128839
901,ZNF431,TBX6,2.4407896639255737
470,RELB,POU5F1B,2.4388626155703887
550,STAT4,ZNF586,2.435728057074701
33,ATF6,MYCN,2.434916568802507
421,PBX4,ZNF85,2.4328169298037294
864,ZNF350,TSHZ2,2.429594420843541
640,YY1,MYB,2.4268994259465675
1092,ZNF709,ZNF343,2.4264066715666046
134,ESRRA,TGIF2,2.4240594982266677
916,ZNF45,ARID1B,2.423597891253488
